"N","Timestamp","Pais","Código de participante","Ud es:","1. Entregaría recomendaciones de higiene oral a pacientes adultos","2. Entregaría recomendaciones de higiene oral a pacientes adultos","3. ¿Le entregaría recomendación de higiene oral a CADA paciente adulto?","4. ¿Cuánto tiempo dedicaría dando recomendaciones de higiene oral?","5. ¿Cómo entregaría sus consejos en higiene oral?","6. ¿Recomendaría enjuague bucal fluoridado como parte de una rutina diaria de higiene oral?","7. ¿Recomendaría el cepillado dental a todos los pacientes adultos?","8.a) Cuando recomienda el cepillado dental, ¿recomendaría usted un tipo de cepillo?","8.b) Cuando recomienda el cepillado dental, ¿recomendaría usted tamaño de la cabeza del cepillo?","8.c) Cuando recomienda el cepillado dental, ¿con qué frecuencia recomendaría usted cambiar el cepillo de dientes?","8.d) Cuando recomienda el cepillado dental, ¿con qué frecuencia recomendaría usted cepillar diariamente?","8.e) Cuando recomienda el cepillado dental, ¿cuánto tiempo recomendaría usted para cepillar?","8.f) Cuando recomienda el cepillado dental, ¿recomendaría usted una técnica de cepillado?","9. ¿Recomendaría el uso de pasta dental a todos los pacientes adultos?","10.a) Cuando recomienda pasta dental, ¿recomendaría usted un tipo de pasta dental?","10.b) Cuando recomienda pasta dental, ¿cual concentración de pasta dental recomendaría?","10.c) Cuando recomienda pasta dental, ¿cuanta cantidad de pasta de dientes a utilizar cada vez?","10.d) Cuando recomienda pasta dental, ¿que tipo de enjuage recomendaría?","11. ¿Recomendaría limpieza interdental a todos los pacientes adultos?","12.a) Cuando recomienda la limpieza interdental, ¿recomendaría un tipo de dispositivo interdental?","12.b) Cuando recomienda la limpieza interdental, ¿cada cuanto recomienda utilizarlo?","12.c) Cuando recomienda la limpieza interdental, ¿demostraría una técnica ?","Año de egreso de pregrado:","gadi kops beigsanas","Año egreso higienistas","Curso actual","Curso higienistas"," 13. La higiene oral juega un rol causal en muchas enfermedades orales."," 14. La persona promedio de mi país tiene buena salud oral."," 15. Modificaciones a la higiene oral pueden prevenir muchas enfermedades oral."," 16. La profilaxis profesional no tiene efecto sobre la salud oral de los individuos."," 17. Los dentistas no dan suficientes recomendaciones sobre higiene oral a sus pacientes."," 18. El personal dental (dentistas y auxiliares) desempeñan el mismo rol en brindar consejos de higiene oral a los pacientes."," 19. Consejos de salud bucal contradictorios pueden tener un efecto negativo en el comportamiento, la motivación y las actitudes de un individuo."," 20. La eliminación de las contradicciones en los mensajes de salud oral puede tener efectos positivos sobre la salud oral de los chilenos."," 21. Existen contradicciones entre los mensajes de salud oral entregados por  dentistas y personal auxiliar odontológico."," 22. Mejores consejos preventivos de profesionales de la odontología puede tener efectos positivos significativos sobre la salud de las personas.","23. En promedio, ¿cuantas clases, prácticos, conferencias, seminarios o tutorías ha tenido en consejos de higiene oral para los pacientes?","24. ¿Siente que ha tenido suficiente formación en este aspecto de la atención al paciente y la prevención de enfermedades?","25. En su opinión ¿qué formación adicional siente que es necesaria?","26. ¿Se siente seguro/a en la actualidad entregando recomendaciones de higiene oral a pacientes adultos?","27. ¿ Se siente seguro/a en la actualidad de ser capaz de modificar la higiene oral aconsejando a una persona?","28. Si su respuesta es “No” a las preguntas 26. y 27  ¿por qué?","Comentarios de respondente"
1,"8/28/2014 21:06:08","Chile","84D","Dentista","en respuesta a una solicitud hecha para un consejo de higiene oral","en la última cita del plan de tratamiento","No","1-2 minutos","Demostraciones","No","Si","manual","medio","1-3 meses",4,"5 - 10","Barrido","Si","con fluor","recomendaría","recomendaría","recomendaría","No","hilo dental","2 veces al día","Si",1978,36,,,,"De acuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","0-4","No","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"8/30/2014 12:00:01","Chile","122E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","Si","Si","manual","medio","recomendaría",3,3,"Barrido","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","Si",,,,4,,"Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","0-4","Si","Observando a expertos entregando consejos a pacientes reales","Si","No","falta de compromiso del paciente",
1,"9/1/2014 10:25:48","Chile","98E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Comunicación verbal, Demostraciones, Instrucciones escritas, Vídeos","No","Si","manual","pequeño","3 meses",3,"3-5","Barrido","Si","con fluor","1000-1500","mas que 1/2 cabeza, menos que cabeza","no recomendaría","Si","ambos","3 veces al día","No",,,,5,,"Muy en desacuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","10-19","Si","Demostraciones prácticas, Experiencia con pacientes propios","No","Si","Falta de experiencia",
1,"9/8/2014 10:43:21","Chile","90E","Estudiante","cuando usted sienta que es necesario","ocasionalmente","No","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","no recomendaría",3,3,"Barrido","Si","con fluor","1000-1500","no recomendaría","escupir la pasta de dientes, pero no enjuagar","No","hilo dental","1 vez al día","No",,,,5,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/8/2014 11:44:28","Chile","126E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones, Vídeos","Si","Si","manual","medio","3 meses",3,"5 - 10","Barrido","Si","con fluor","1000-1500","1/2 cabeza del cepillo","escupir la pasta de dientes, pero no enjuagar","No","hilo dental","Al menos 1 vez al día","No",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","No","Demostraciones prácticas","No","Si","Falta de experiencia","6. Depende: si no tiene una fuente diaria (agua potable) o regular, entonces SI. 10d. Si es riesgo de caries alto: no enjuagar . Si es riesgo bajo: enjuagar"
1,"9/8/2014 12:14:25","Chile","129E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","No","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","3 meses",3,2,"Barrido","Si","con fluor","no recomendaría","mas que tamaño arveja, menos que 1/2 cabeza","escupir la pasta de dientes, pero no enjuagar","No","hilo dental","1 vez al día","Si",,,,4,,"De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","De acuerdo",,"De acuerdo","0-4","No","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/8/2014 12:37:28","Chile","133E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","8 minutos","Demostraciones","Si","Si","manual","pequeño","3 meses",3,3,"Barrido","Si","con fluor",110,"tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","2 veces al día","No",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo",,"Muy de acuerdo","0-4","No","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/8/2014 14:28:01","Chile","197E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","8 minutos","Demostraciones, Vídeos","No","Si","manual","pequeño","1-3 meses",3,"3-5","Barrido","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez al día","Si",,,,6,,"Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Demostraciones prácticas","Si","Si",,
1,"9/8/2014 16:44:55","Chile","143E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","Si","Si","manual","pequeño","3 meses",3,"3-5","Barrido","Si","con fluor","1000-1500","tamaño arveja ","enjuagar la pasta de dientes con agua","Si","hilo dental","con cada cepillado ","Si",,,,4,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,
1,"9/8/2014 21:10:36","Chile","117E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","3-6 meses",3,"3-5","Barrido","Si","con fluor","1000-1500","tamaño arveja ","enjuagar la pasta de dientes con agua","Si","ambos","1 vez al día","No",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","Si","Si",,
